,Posicion,Numero,Equipo,TiempoMejor,Gap,Intervalo,Vueltas,Velocidad,TiempoTotal
2,1,17,PINK ARIZA CIRCUIT FRACING,66.75899982452393,0.0,0.0,9,59.31999969482422,614.8599996566772
3,2,12,CREATIA DEPILSOFT,66.77400016784668,0.014999999664723873,0.014999999664723873,9,59.29999923706055,625.5820007324219
4,3,3,CVKS AUTOS DIRECT,66.84899997711182,0.09000000357627869,0.07500000298023224,9,59.2400016784668,629.6660003662109
5,4,6,HISPANO ALEMAN RACING TEAM,66.87599992752075,0.11699999868869781,0.027000000700354576,9,59.209999084472656,625.4440002441406
6,5,13,CKM FUOKO- BERYLO VIAJES,66.9359998703003,0.1770000010728836,0.05999999865889549,9,59.15999984741211,630.9489994049072
7,6,4,CVKS PATRIMI,66.96500015258789,0.20600000023841858,0.028999999165534973,9,59.13999938964844,629.3999996185303
8,7,8,EIRIZ RACING PRO,66.98099994659424,0.22200000286102295,0.01600000075995922,9,59.119998931884766,624.738000869751
9,8,2,LMKC AF KARTING,67.10099983215332,0.34200000762939453,0.11999999731779099,9,59.02000045776367,625.3589992523193
10,9,1,LMKC ENDURANCE,67.11600017547607,0.3569999933242798,0.014999999664723873,9,59.0,628.9559993743896
11,10,21,VIRTUAL RACERS TEAM,67.36299991607666,0.6039999723434448,0.24699999392032623,9,58.790000915527344,626.6730003356934
